Id,SegmentId_Time,Altitude,Latitude,Longitude,Noisy_Altitude,Noisy_Latitude,Noisy_Longitude
1,1_3801,?,?,?,165.022636289,40.4178239108,-86.9332677359
2,1_3802,?,?,?,167.400882207,40.4173753006,-86.9331347837
3,1_3803,?,?,?,148.186366218,40.4065608147,-86.9361724708
4,1_3804,?,?,?,163.314731861,40.4237706189,-86.933580326
5,1_3805,?,?,?,154.871155553,40.4138730046,-86.9342891536
6,1_3806,?,?,?,157.342591696,40.413049589,-86.9347114884
7,1_3807,?,?,?,158.941620005,40.4179015732,-86.9335970003
8,1_3808,?,?,?,161.103290378,40.4188208983,-86.9333149464
9,1_3809,?,?,?,154.360230644,40.4113529851,-86.9347833724
10,1_3810,?,?,?,165.660104607,40.4181402439,-86.9335723401
11,1_3811,?,?,?,157.826416231,40.4177343283,-86.9330599763
12,1_3812,?,?,?,154.895457622,40.4122210768,-86.9347512771
13,1_3813,?,?,?,162.824288384,40.4174853563,-86.9335257743
14,1_3814,?,?,?,163.511254963,40.4240617437,-86.9334397857
15,1_3815,?,?,?,153.202940627,40.4086444175,-86.9340333646
16,1_3816,?,?,?,164.088865085,40.4146921242,-86.932958872
17,1_3817,?,?,?,161.092158313,40.4154618561,-86.9330386514
18,1_3818,?,?,?,154.056410407,40.4047524957,-86.9345839485
19,1_3819,?,?,?,159.701691853,40.4178414219,-86.9331962483
20,1_3820,?,?,?,165.32190955,40.4158906871,-86.9328834256
21,1_3821,?,?,?,161.030509186,40.4133823919,-86.9341594214
22,1_3822,?,?,?,160.002613034,40.4136944451,-86.933580048
23,1_3823,?,?,?,173.064824291,40.4239700768,-86.9321138422
24,1_3824,?,?,?,152.504543168,40.4099651484,-86.9343275361
25,1_3825,?,?,?,163.721016832,40.4188536415,-86.9332887988
26,1_3826,?,?,?,163.708654404,40.4174162995,-86.9338644011
27,1_3827,?,?,?,153.027675489,40.4163307607,-86.9338460768
28,1_3828,?,?,?,153.001157739,40.4090348458,-86.9344094863
29,1_3829,?,?,?,166.705762553,40.4238766092,-86.9313577049
